,Country,Country code,Job,Currency Notation,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert,Avg. salary (USD),Max. salary (USD),Min. salary (USD)
53,INDIA,IN,Finance_Manager,₹,993805.0,352000.0,2000000.0,"New Delhi, Delhi",-0%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0
54,INDIA,IN,Finance_Manager,₹,993805.0,352000.0,2000000.0,"Hyderabad, Andhra Pradesh",-0%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0
55,INDIA,IN,Finance_Manager,₹,993805.0,352000.0,2000000.0,"Delhi, Delhi",-4%,79.8%,20.1%,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0
56,INDIA,IN,Chartered_Accountant,₹,788523.0,412000.0,2000000.0,"Bangalore, Karnataka",+17%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0
57,INDIA,IN,Chartered_Accountant,₹,788523.0,412000.0,2000000.0,"Chennai, Tamil Nadu",+13%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0
58,INDIA,IN,Chartered_Accountant,₹,788523.0,412000.0,2000000.0,"Hyderabad, Andhra Pradesh",+12%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0
59,INDIA,IN,Chartered_Accountant,₹,788523.0,412000.0,2000000.0,"New Delhi, Delhi",+9%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0
60,INDIA,IN,Chartered_Accountant,₹,788523.0,412000.0,2000000.0,"Mumbai, Maharashtra",+4%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0
61,INDIA,IN,Chartered_Accountant,₹,788523.0,412000.0,2000000.0,"Pune, Maharashtra",-6%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0
62,INDIA,IN,Chartered_Accountant,₹,788523.0,412000.0,2000000.0,"Ahmedabad, Gujarat",-14%,72.7%,27.3%,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0
