,Country,Country code,Job,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert
733,UNITED STATES,US,Web_Designer_%26_Developer,57375,$39k , $89k.,"Atlanta, Georgia",+3%,58.7%,41.1%,"['Web Development', 'HTML5', 'Cascading Style Sheets (CSS)', 'JavaScript', 'Adobe Photoshop', 'jQuery', 'HTML', 'Adobe Illustrator', 'Graphic Design', 'Wordpress']",1.0
734,UNITED STATES,US,ScrumMaster,88684,$60k , $123k.,"Seattle, Washington",+10%,56.2%,43.3%,"['Agile Software Development', 'Project Management', 'ScrumMaster', 'Scrum', 'Team Leadership', 'Product Management', 'Kanban', 'Facilitator', 'Leadership', 'Business Analysis']",1.0
735,UNITED STATES,US,ScrumMaster,88684,$60k , $123k.,"Atlanta, Georgia",+9%,56.2%,43.3%,"['Agile Software Development', 'Project Management', 'ScrumMaster', 'Scrum', 'Team Leadership', 'Product Management', 'Kanban', 'Facilitator', 'Leadership', 'Business Analysis']",1.0
736,UNITED STATES,US,ScrumMaster,88684,$60k , $123k.,"New York, New York",+8%,56.2%,43.3%,"['Agile Software Development', 'Project Management', 'ScrumMaster', 'Scrum', 'Team Leadership', 'Product Management', 'Kanban', 'Facilitator', 'Leadership', 'Business Analysis']",1.0
737,UNITED STATES,US,ScrumMaster,88684,$60k , $123k.,"Minneapolis, Minnesota",-2%,56.2%,43.3%,"['Agile Software Development', 'Project Management', 'ScrumMaster', 'Scrum', 'Team Leadership', 'Product Management', 'Kanban', 'Facilitator', 'Leadership', 'Business Analysis']",1.0
738,UNITED STATES,US,ScrumMaster,88684,$60k , $123k.,"Austin, Texas",-4%,56.2%,43.3%,"['Agile Software Development', 'Project Management', 'ScrumMaster', 'Scrum', 'Team Leadership', 'Product Management', 'Kanban', 'Facilitator', 'Leadership', 'Business Analysis']",1.0
739,UNITED STATES,US,ScrumMaster,88684,$60k , $123k.,"Chicago, Illinois",-5%,56.2%,43.3%,"['Agile Software Development', 'Project Management', 'ScrumMaster', 'Scrum', 'Team Leadership', 'Product Management', 'Kanban', 'Facilitator', 'Leadership', 'Business Analysis']",1.0
740,UNITED STATES,US,ScrumMaster,88684,$60k , $123k.,"Charlotte, North Carolina",-9%,56.2%,43.3%,"['Agile Software Development', 'Project Management', 'ScrumMaster', 'Scrum', 'Team Leadership', 'Product Management', 'Kanban', 'Facilitator', 'Leadership', 'Business Analysis']",1.0
741,UNITED STATES,US,Telecommunications_Engineer,79776,$53k , $116k.,"Dallas, Texas",+23%,85.8%,13.4%,"['Cisco ICM', 'Avaya', 'Cisco TelePresence', 'Project Management', 'Unified Communications (UC)', 'Telecommunications', 'VoIP', 'Cisco UCCE/IPCC', 'Fiber', 'Cisco Networking']",1.0
742,UNITED STATES,US,Telecommunications_Engineer,79776,$53k , $116k.,"Houston, Texas",+22%,85.8%,13.4%,"['Cisco ICM', 'Avaya', 'Cisco TelePresence', 'Project Management', 'Unified Communications (UC)', 'Telecommunications', 'VoIP', 'Cisco UCCE/IPCC', 'Fiber', 'Cisco Networking']",1.0
743,UNITED STATES,US,Telecommunications_Engineer,79776,$53k , $116k.,"New York, New York",+22%,85.8%,13.4%,"['Cisco ICM', 'Avaya', 'Cisco TelePresence', 'Project Management', 'Unified Communications (UC)', 'Telecommunications', 'VoIP', 'Cisco UCCE/IPCC', 'Fiber', 'Cisco Networking']",1.0
744,UNITED STATES,US,Telecommunications_Engineer,79776,$53k , $116k.,"Washington, District of Columbia",+18%,85.8%,13.4%,"['Cisco ICM', 'Avaya', 'Cisco TelePresence', 'Project Management', 'Unified Communications (UC)', 'Telecommunications', 'VoIP', 'Cisco UCCE/IPCC', 'Fiber', 'Cisco Networking']",1.0
745,UNITED STATES,US,Telecommunications_Engineer,79776,$53k , $116k.,"Salt Lake City, Utah",+6%,85.8%,13.4%,"['Cisco ICM', 'Avaya', 'Cisco TelePresence', 'Project Management', 'Unified Communications (UC)', 'Telecommunications', 'VoIP', 'Cisco UCCE/IPCC', 'Fiber', 'Cisco Networking']",1.0
746,UNITED STATES,US,Telecommunications_Engineer,79776,$53k , $116k.,"Atlanta, Georgia",-0%,85.8%,13.4%,"['Cisco ICM', 'Avaya', 'Cisco TelePresence', 'Project Management', 'Unified Communications (UC)', 'Telecommunications', 'VoIP', 'Cisco UCCE/IPCC', 'Fiber', 'Cisco Networking']",1.0
747,UNITED STATES,US,Telecommunications_Engineer,79776,$53k , $116k.,"Chicago, Illinois",-2%,85.8%,13.4%,"['Cisco ICM', 'Avaya', 'Cisco TelePresence', 'Project Management', 'Unified Communications (UC)', 'Telecommunications', 'VoIP', 'Cisco UCCE/IPCC', 'Fiber', 'Cisco Networking']",1.0
748,SWITZERLAND,CH,Data_Scientist,98680 Fr.,70k Fr. , 129k Fr..,SWITZERLAND,0,67.2%,32.8%,"['Data Modeling', 'SQL', 'Project Management', 'Product Development', 'Big Data Analytics', 'Statistical Analysis', 'Data Mining', 'Machine Learning', 'Python', 'R']",1.1
749,SWITZERLAND,CH,Software_Engineer,95335 Fr.,58k Fr. , 127k Fr..,SWITZERLAND,0,93.5%,6.5%,"['SQL', 'Java', 'C++ Programming Language', '.NET', 'Linux', 'Java/J2EE', 'C Programming Language', 'Python', 'HTML', 'JavaScript']",1.1
750,SWITZERLAND,CH,Primary_School_Teacher,61208 Fr.,40k Fr. , 93k Fr..,SWITZERLAND,0,14.3%,85.7%,"['Childhood Education', 'English Language']",1.1
751,SWITZERLAND,CH,Secondary_School_Teacher,76437 Fr.,29k Fr. , 113k Fr..,SWITZERLAND,0,50%,50%,"['Curriculum Planning', 'Subject Matter Expert', 'English Language']",1.1
752,SWITZERLAND,CH,High_School_Teacher,75641 Fr.,100 Fr. , 112k Fr..,SWITZERLAND,0,25%,75%,['English Language'],1.1
753,SWITZERLAND,CH,Accountant,76993 Fr.,41k Fr. , 101k Fr..,SWITZERLAND,0,34.2%,65.8%,"['SAP Financial Accounting and Controlling (SAP FICO)', 'Accounts Receivable', 'Microsoft Excel', 'Bookkeeping', 'Financial Analysis', 'Financial Reporting', 'Accounting', 'Accounts Payable']",1.1
754,SWITZERLAND,CH,Finance_Manager,128620 Fr.,99k Fr. , 161k Fr..,SWITZERLAND,0,69.1%,30.9%,"['SAP Financial Accounting and Controlling (SAP FICO)', 'Forecasting', 'Financial Modeling', 'Financial Analysis', 'Financial Reporting', 'Microsoft Excel', 'Budgeting', 'Microsoft Office']",1.1
755,SWITZERLAND,CH,Chartered_Accountant,120000 Fr.,50k Fr. , 153k Fr..,SWITZERLAND,0,100%,0,[],1.1
